text	service	location	cleanliness	business
In a nutshell, the hotel amenities are fine, staff are friendly and very helpful, the restaurant is good and the rooms are comfortable.	1.0	0.2	0.8	1.0
A spa/restaurant/pool on the 13th floor is very nice, although I got a bit tired of Hollywood theme songs played at somewhat annoying volumes.	1.0	0.2	0.8	1.0
All rooms have a view of either the ocean or the city.	1.0	0.2	0.8	1.0
The only complaint I have is the location.	1.0	0.2	0.8	1.0
The Diagonal Mar area around the hotel is one of Barcelona's interventions (urban renewal project).	1.0	0.2	0.8	1.0
Nearby is a shopping mall that is indistinuishable from malls anywhere around the world.	1.0	0.2	0.8	1.0
I would recommend the tappas bar on the far east end of the terrassa, or explore the sidewalk cafes north of the mall.	1.0	0.2	0.8	1.0
Access to the city is through bus 41 (about 35 mins to Pl. Catalunya), the yellow metro line (15 mins to Jaume station near Barri Gotic), or a tram that takes you to the Olympic Village via Pl. Glories (about 15 mins).	1.0	0.2	0.8	1.0
Taxi access is very good, located just outside the hotel.	1.0	0.2	0.8	1.0
Excellent Traveling Location	0.8	0.8	0.8	1.0
We booked our trip to Japan through a Japanese travel agency and this hotel was part of the package deal.	0.8	0.8	0.8	1.0
It is a good location in that it is near the Shinjuku station, which is one of the major subway and JR line stops.	0.8	0.8	0.8	1.0
There is also a free shuttle to and from the station, which helped (though the walk isn't bad).	0.8	0.8	0.8	1.0
The hotel seems a litle nicer than your standard Hilton hotels in the US.	0.8	0.8	0.8	1.0
We stayed here twice - a few days when we arrived and then a few days before we headed home.	0.8	0.8	0.8	1.0
Service was great and we used the concierge service numerous times to find good restaurants around the area.	0.8	0.8	0.8	1.0
It's a hit and miss with staff speaking English, although for the most part they understood us.We only ate breakfast at the hotel, which was a Japanese and Western style buffet that was excellent.	0.8	0.8	0.8	1.0
However, we skipped eating restaurants on the second floor as they were a bit pricey.	0.8	0.8	0.8	1.0
If Tokyo is the only city you're visiting I'd probably recommend a different hotel as Shinjuku is a business district and pretty quiet at night unless you hang out at the station (the shuttle service ends around 9:30PM).	0.8	0.8	0.8	1.0
If Tokyo is one of many cities on your agenda, I thought this was a great choice.	0.8	0.8	0.8	1.0
Only downside is the JR to Kyoto/Osaka leaves from Tokyo station, so you have to change stations if you venture west.	0.8	0.8	0.8	1.0
I strongly recomend getting the JR pass if you do so.	0.8	0.8	0.8	1.0
Best Hotel in	0.0	0.0	0.0	0.0
NY - PERIOD.	0.0	0.0	0.0	0.0
WOW!	0.0	0.0	0.0	0.0
Perfect location, very friendly staff, and very good rate for St Patrick's Day weekend.	0.0	0.0	0.0	0.0
(about $220 everything included).	0.0	0.0	0.0	0.0
The room was bigger than my first apartment - I challenge you to find a room bigger than this for under $1,000.	0.0	0.0	0.0	0.0
New, sleek, modern COMFORTABLE furniture.	0.0	0.0	0.0	0.0
An actual working fireplace in the room, but I don't know if they let guests use it.	0.0	0.0	0.0	0.0
Charming chair and reading lamp was just beautiful.	0.0	0.0	0.0	0.0
The windows overlooked a playground and courtyard, and it was almost silent during our stay.	0.0	0.0	0.0	0.0
We were right next to the elevator, and didn't hear a thing.	0.0	0.0	0.0	0.0
Big flat panel TV, plus DVD/VCR unit.	0.0	0.0	0.0	0.0
The sitting area had a really comfy couch that I slept on w/o any problems (but I am only 5 feet /152cm tall), fridge in room so you can have your own food in there.	0.0	0.0	0.0	0.0
The bathroom was HUGE - probably 8x11ft/ 2.4m x 16.7m?)	0.0	0.0	0.0	0.0
and also had a window that you could open .	0.0	0.0	0.0	0.0
It was nice to get real fresh air in, not some noisy, useless fan.The only drawback was that the complimentary breakfast ended at like 9am.	0.0	0.0	0.0	0.0
It should go to 11 at least, but most US hotels end at 9.	0.0	0.0	0.0	0.0
Boooh.	0.0	0.0	0.0	0.0
Anyway, I cannot say enough good things about this hotel.	0.0	0.0	0.0	0.0
It was far better than the Waldorf and Sheraton in every way.	0.0	0.0	0.0	0.0
Needs Updating Arrived after late flight and walked into my room and my heart sank.	0.0	0.0	0.0	0.0
It was terrible!	0.0	0.0	0.0	0.0
Poky and small.	0.0	0.0	0.0	0.0
Bathroom was tiny with a dirty sink.	0.0	0.0	0.0	0.0
I had asked for a non smoking room and room smelt faintly of smoke.	0.0	0.0	0.0	0.0
Bed was nice although the smell of tabacco wafted up your nose as you were trying to sleep.	0.0	0.0	0.0	0.0
There was no room to put down my 3 suitcases.	0.0	0.0	0.0	0.0
We had to walk around them.	0.0	0.0	0.0	0.0
The balcony/lanai frightened me...	0.0	0.0	0.0	0.0
it was old and I wondered how much rust was being covered by the paint!	0.0	0.0	0.0	0.0
I might fall over if I lent on the bars!	0.0	0.0	0.0	0.0
I had a 2 room upgrade!	0.0	0.0	0.0	0.0
I wouldn't have liked to have stayed in my original room...	0.0	0.0	0.0	0.0
it would have been far worse experience than what I had.	0.0	0.0	0.0	0.0
I'd give it about a 3 or 4 out of 10!!	0.0	0.0	0.0	0.0
Looks nothing like the picture in brochures!!!	0.0	0.0	0.0	0.0
For value for money, the Royal Hawaiian, Moama Surf or Sheraton might be approx $100 per night dearer, but you are getting about $400 more in value.	0.0	0.0	0.0	0.0
Worth the extra money!!	0.0	0.0	0.0	0.0
I Had a Great Experience!	0.0	0.0	0.0	0.0
I was a little worried when I read some recent reviews of this hotel.	0.0	0.0	0.0	0.0
I'm glad I chose to stay at the Singel!	0.0	0.0	0.0	0.0
The desk clerk joked that I had the smallest room in all of Amsterdam and he was probably right but it suited my needs perfectly: a very clean, quiet room with all the amenities (shower, TV w/cable).	0.0	0.0	0.0	0.0
I requested a non-smoking room and the room was bright, modern, airy and smoke-free!	0.0	0.0	0.0	0.0
The location is fabulous - near Centraal Station but on a quiet canal virtually in the city center but close to the western side of town with great shops and restaurants.	0.0	0.0	0.0	0.0
Breakfast at Singel included an array of meats, cheeses, fruit, toasts, yogurt, granola, juice.	0.0	0.0	0.0	0.0
Each table gets a carafe of coffee/tea.	0.0	0.0	0.0	0.0
Friendly service - yes you leave your room key but this is common in Europe! Would I stay here again? Yes!!	0.0	0.0	0.0	0.0
A top choice in Barcelona	1.0	1.0	1.0	1.0
I spent two nights at the Casa Fuster from 26-28 November.	1.0	1.0	1.0	1.0
I had spent two nights at the Hotel 1898 on Las Ramblas before checking in to the CF, and although a night in a Standard room at the CF was 110 Euro a night more expensive than a Superior room at the 1898, the CF truly is in a different class than the 1898 and is worth the extra money.I should say however that a local travel agent quoted me a rate of Euro 240/night inclusive of breakfast at the CF for the weekend of November 17th, but I ended up having to change my travel dates due to work.	1.0	1.0	1.0	1.0
For the days I traveled 鈥?	1.0	1.0	1.0	1.0
even though I did not stay at the CF on a weekend 鈥?	1.0	1.0	1.0	1.0
were much more expensive 鈥?	1.0	1.0	1.0	1.0
at Euro 330/night not including breakfast.	1.0	1.0	1.0	1.0
Obviously, it would have been great to get the cheaper rate, but I would pay the higher rate again for a chance to stay at the Casa Fuster where the service and the accommodations are truly top notch.	1.0	1.0	1.0	1.0
Let mention that I have a love-hate relationship with large hotels.	1.0	1.0	1.0	1.0
I like the hustle and bustle of crowded lobbies and get kind of depressed when I am staying at smaller boutique hotels that have empty-ghost town lobbies.	1.0	1.0	1.0	1.0
That doesn鈥檛 mean I am a fan of large numbers of tour busses dropping off tourists to gawk and gape while they wait in line for afternoon tea.	1.0	1.0	1.0	1.0
Still, my second impression of the CF (the 1st being the absolutely stunning building exterior 鈥?	1.0	1.0	1.0	1.0
wow!)	1.0	1.0	1.0	1.0
with bellhops coming and going and groups congregating all over the lobby was 鈥渘ow this is a real hotel鈥?	1.0	1.0	1.0	1.0
I would say that the CF and the 1898 are of similar size, but the lobby of the CF was much more lively than the 1898 although they both had high occupancy during my stay.	1.0	1.0	1.0	1.0
The 1898 does have a somewhat larger lobby however so this may account for why it seemed so sparkly populated.	1.0	1.0	1.0	1.0
After check in I decided to walk around town a bit.	1.0	1.0	1.0	1.0
Of course, the first thing I noticed as I was walking back up Pasaig de Gracia towards the hotel was a Large grey tour-bus parked outside the hotel.	1.0	1.0	1.0	1.0
Oh well.	1.0	1.0	1.0	1.0
Guess you cant have the crowded lobby without the obligatory tour bus parked outside.	1.0	1.0	1.0	1.0
Still, this lobby was crowded in the way I enjoy so I cannot fault it Although I expected the Standard room at the CF to smaller than the superior room at the 1898, the room at the CF had a very, very large, luxurious marble bathroom reminiscent of the bathroom at the Hotel de Russie in Rome.	1.0	1.0	1.0	1.0
I think the bathroom is the most important part of a hotel room and would gladly give up extra room real estate if it would buy me a larger bathroom.	1.0	1.0	1.0	1.0
You could comfortably fit two people in this bathroom which I appreciated even though I was traveling alone.	1.0	1.0	1.0	1.0
In fact the entire CF reminded me of a smaller version of the de Russie.	1.0	1.0	1.0	1.0
Something about the decor, and the layout of the hallways though I can鈥檛 put my finger on it.	1.0	1.0	1.0	1.0
I did have a minor problem with the shower 鈥?	1.0	1.0	1.0	1.0
either there was no shower curtain or glass panel to keep the water from spilling all over the place, or I just count figure out how to use it, but I ended up making a minor flood in the bathroom that I had to use up all my towels to dry up.	1.0	1.0	1.0	1.0
Thankfully when I returned to my room the attendants who had done turn-down service had replaced my wet towels with fresh ones.	1.0	1.0	1.0	1.0
Although the CF felt from the start like a real deluxe experience, it proved itself to be such on my very first night there.	1.0	1.0	1.0	1.0
After a long day of sightseeing in the area around Palau Nacional I wanted to enjoy a glass of wine in the Lobby bar before heading off to dinner in town.	1.0	1.0	1.0	1.0
Regretfully, there was a private event going on at the time and the gentleman at the front desk apologized and offered to have me served in the upstairs library-quite area which I happily accepted.	1.0	1.0	1.0	1.0
Shortly after finding a place to sit where I could write my postcards a waiter appeared to take my order.	1.0	1.0	1.0	1.0
When he returned her informed me that the glass of wine was 鈥渙n the house,鈥?	1.0	1.0	1.0	1.0
which could not have made me happier.	1.0	1.0	1.0	1.0
Very unexpected and very, very nice.	1.0	1.0	1.0	1.0
Skeptics might say that a small gesture like that is not worth the extra Euro 110/night over my other choice for accommodation, but to me it makes all the difference.I did eventually make my way to the lobby bar after midnight where I enjoyed a glass of Cava, finger foods, and deserts.	1.0	1.0	1.0	1.0
The later was on the pricey side but no more than I expected to pay at such a fine hotel.	1.0	1.0	1.0	1.0
Although I would stay at the 1898 again, if I budget was not a constraint I would choose the CF hands down.	1.0	1.0	1.0	1.0
You pay more, but you get so much more.	1.0	1.0	1.0	1.0
This was my second trip to BCN and some of the TripAdvisor members warned that the area has become a lot more touristy than in it was in 1997, I didn鈥檛 really find that to be the case.	1.0	1.0	1.0	1.0
Still, L鈥橢ixample is not all that far away from Placa Catalunya and Pasaig de Gracia is really so nice to stroll along 鈥?	1.0	1.0	1.0	1.0
leisurely or otherwise.	1.0	1.0	1.0	1.0
There is no reason to stay on Las Ramblas.	1.0	1.0	1.0	1.0
Even if you are not a walker, the Diagonal Metro station is only two stops form the Ramblas.	1.0	1.0	1.0	1.0
A note of caution for those of you who only travel by car or taxi: At 11 AM on a Monday morning to took over 30 minutes to travel from the Hotel 1898 (on Las Ramblas) to the CF.	1.0	1.0	1.0	1.0
I could have walked to the CF in just over half that time if I didn鈥檛 have a large suitcase with me.I would also like to try the Hotel Majestic, which is only 2 or 3 blocks from the CF and so many Trip Advisor members have spoken so highly of it.	1.0	1.0	1.0	1.0
But I wouldn鈥檛 think twice about staying at the CF again.	1.0	1.0	1.0	1.0
I cannot fault the experience 鈥?	1.0	1.0	1.0	1.0
well maybe the 5 pound room key system REALLY does need to be done away with in favor of a keycard 鈥?	1.0	1.0	1.0	1.0
but otherwise it was truly wonderful.	1.0	1.0	1.0	1.0
I never made it to breakfastas I had saved that for my checkout day but ended up having to check out at 4:30 AM due to a last minute change in my travel plans.	1.0	1.0	1.0	1.0
The reviews on TA are a little bit misleading for the CF.	1.0	1.0	1.0	1.0
I noticed a lot of people gave the CF 4-out-of-5 while nearly all the reviews of the 1998 are 5-out-of-5.	1.0	1.0	1.0	1.0
These reviews, coupled with the uber-cheap rate I was originally given for the CF, made me originally want to avoid it.	1.0	1.0	1.0	1.0
Too often have I stayed at a 鈥済reat鈥?	1.0	1.0	1.0	1.0
hotel at a steep discount and regretted doing so.	1.0	1.0	1.0	1.0
I was seriously afraid that the CF was past its prime.	1.0	1.0	1.0	1.0
Thankfully the CF was everything I expected 鈥?	1.0	1.0	1.0	1.0
actually better b/c it surpassed the 1898 鈥?	1.0	1.0	1.0	1.0
truly a tough act to follow 鈥?	1.0	1.0	1.0	1.0
in so many ways.	1.0	1.0	1.0	1.0
But I would explain the stellar reviews that the 1898 gets by saying that it probably exceeds people鈥檚 expectations as a 4 star hotel while it sounds like the CF sometimes does not live up to people鈥檚 expectations.	1.0	1.0	1.0	1.0
I would say that the CF met my expectations in every way and exceeded them in certain ways as well.	1.0	1.0	1.0	1.0
The 1898 may be a better value because it is much, much more affordably priced while offering many similar amenities and services.	1.0	1.0	1.0	1.0
But there really is no comparison.	1.0	1.0	1.0	1.0
These hotels have a different vibe 鈥?	1.0	1.0	1.0	1.0
that of the CF is decidedly more up-market.	1.0	1.0	1.0	1.0
Of course most of the tourists in both hotels were Americans and the dollar is just not what it used to be.	1.0	1.0	1.0	1.0
I believe people are judging by 鈥渂ang for the buck鈥?鈥?	1.0	1.0	1.0	1.0
as Euro 300 is now worth closer to $450 while it once was as little as $240..	1.0	1.0	1.0	1.0
a whopping 87% increase in 6 years.	1.0	1.0	1.0	1.0
That is no small consideration.	1.0	1.0	1.0	1.0
The CF is amongst the best in Barcelona.	1.0	1.0	1.0	1.0
I hope to eventually stay at the Majestic and may find myself at the Hotel Arts at some point, which I visited for lunch one day and felt like I was in Battery Park City, NYC 鈥?	1.0	1.0	1.0	1.0
totally cut off from the rest of the city.	1.0	1.0	1.0	1.0
And what鈥檚 up with the lack of a restaurant on a high floor?	1.0	1.0	1.0	1.0
How could they forget to utilize the best amenity they have, and charge dearly for: the stellar views!	1.0	1.0	1.0	1.0
It must be reserved for hotel guests (no less than one nights stay is the cost of admission to what is probably one of the most spectacular vistas in the Mediterranean).	1.0	1.0	1.0	1.0
And they probably want to avoid the afternoon tea phenomenon 鈥?	1.0	1.0	1.0	1.0
not that I blame them.	1.0	1.0	1.0	1.0
In the meantime, the Casa Fuster will be for me the best place to sty in Barcelona.	1.0	1.0	1.0	1.0
Hopefully it wont take me 10 years to go back to BCN like it did this time.	1.0	1.0	1.0	1.0
Central but quiet Hotel	0.0	0.0	0.0	0.0
Nacciones is very centrally located ,but our interior room, altho small was very quiet.	0.0	0.0	0.0	0.0
The service from the delightful staff was excellent.	0.0	0.0	0.0	0.0
Small, expensive and pretentious	0.6	0.8	0.6	0.4
I guess I expected more for $450 per night.	0.6	0.8	0.6	0.4
What I got was a very small room, staff with a bit of an attitude and a double hold on my credit card amounting to twice the amount I paid for the three nights I was there.	0.6	0.8	0.6	0.4
I took nearly a week's worth of phone calls to get these erroneous hold removed from my account.	0.6	0.8	0.6	0.4
Stay at the Embassy Suites at Dupont Circle, you will have much more room, al ot less attitude all at less than half the cost of the Sofitel.	0.6	0.8	0.6	0.4
Good and questionable	0.0	0.0	0.0	0.0
Upon check in I was given a Double room.	0.0	0.0	0.0	0.0
I reserved a King room but was told only a double was available ( Same price).	0.0	0.0	0.0	0.0
That was ok since I assumed a double' meant two beds ( as indicated on their website) Well, My room was located behind the elevators with a double bed.	0.0	0.0	0.0	0.0
That is one double size bed just larger than a twin.	0.0	0.0	0.0	0.0
the bed was against the wall of the SMALLEST room I have ever stayed in other than a hostel in my college days.	0.0	0.0	0.0	0.0
I admit the room was clean and nice.	0.0	0.0	0.0	0.0
But, SMALL.	0.0	0.0	0.0	0.0
After checking in I looked at the hotels website and they still listed King, and King Deluxe room available for the same night.	0.0	0.0	0.0	0.0
I travel every week and try new hotels in the areas I travel, To find a nice hotel with a good work environment.	0.0	0.0	0.0	0.0
As you can imagine I was not happy with the SMALL room but accepted it.	0.0	0.0	0.0	0.0
I needed to get work done and on to my Clients.	0.0	0.0	0.0	0.0
When I checked out I talked to the Manager Christine.	0.0	0.0	0.0	0.0
She told me it was up to the the front desk clerk to assign me a room at THEIR discrestion.	0.0	0.0	0.0	0.0
Since I was traveling alone they needed to give me a double to have a king available for other guests.	0.0	0.0	0.0	0.0
The Manager said this is their policy and did not feel they need to reduce my rates for my (small) room.	0.0	0.0	0.0	0.0
The Pro's: Great workout facility and snack pantry.	0.0	0.0	0.0	0.0
MAKE SURE YOU KNOW WHAT ROOM YOU ARE GIVEN PRIOR TO LEAVING THE FRONT DESK.	0.0	0.0	0.0	0.0
This hotel is in a great location for driving to most areas of Phoenix.	0.0	0.0	0.0	0.0
There is not very much in walking distance.	0.0	0.0	0.0	0.0
Hell hole!!	0.0	0.0	0.0	0.0
We stayed at this hotel the week starting the 22nd	0.0	0.0	0.0	0.0
Jan 2007 and it was truly horrendous!!	0.0	0.0	0.0	0.0
Check in was a joke, we were waiting ages for our room.	0.0	0.0	0.0	0.0
Our room was absolutely appalling we had holes in our wall, plug sockets came away from the wall when they were used, holes and cigarette burns in the bedding, the fuse box had no cover (not exactly ideal if you have kids) my boyfriend had 2 open the wardrobe for me everytime I wanted something out of it as it came off its runners and would get jammed!	0.0	0.0	0.0	0.0
We had holes in our roof were at night we developed a skylight, the bath was full of chips and marks with limescale and dirt covering the plug hole and shower head, the toilet blatantly hadnt been cleaned for a long time and the only way to open the plug in the sink was by using scissors!	0.0	0.0	0.0	0.0
not to mention the general state of the hotel, wires dangling on corridors, smashed roof tiles and cracks in the floor!	0.0	0.0	0.0	0.0
The worst bit however had to be 'alcatraz' the buffet restaurant, were birds and flies freely roamed all over the food, this put us off so much that we booked into an a la carte everynight as we refused to eat the contaminated food!	0.0	0.0	0.0	0.0
However it was at the a la carte 'Roma' where we dined with another couple who we had met on holiday that, my boyfriend, myself and our friends all contracted food poisoning.	0.0	0.0	0.0	0.0
We were really ill my boyfriend shaking severely and we all had diarrhoea and vomiting.	0.0	0.0	0.0	0.0
This continued for the duration of the holiday and I have still not fully recovered almost a month after being at home!	0.0	0.0	0.0	0.0
When we went to the rep about this problem she claimed that 'noone else had reported being ill' although since getting home we have read many reports on the thomson website suggesting otherwise!	0.0	0.0	0.0	0.0
I would also not advise the trips especially Saona and Rancho Jonathan.	0.0	0.0	0.0	0.0
