text	LAPTOP#GENERAL	LAPTOP#QUALITY	LAPTOP#OPERATION_PERFORMANCE	LAPTOP#DESIGN_FEATURES	LAPTOP#CONNECTIVITY	LAPTOP#MISCELLANEOUS	LAPTOP#PORTABILITY	LAPTOP#USABILITY	LAPTOP#PRICE
 I love the size, keyboard, the functions. I don't really have a complaint. It is easy to use, good quality and good price. Perfect trifecta! I would recommend this product.	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0
 The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
 This is my first Dell I heard their customer service was lacking and that they were working on improving it! I purchased this laptop 9 months ago! The DVD burner broke after burning 3 DVD'd during that time! They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later. I am currently out of town and called to inform them the broken part would be returned when I got back in town. If this is an improvement in Customer Service then I would hate too see what it was before! I spoke to 4 different people and was told they needed to transfer me to a 5th person! Needless to say I told them No and have a nice day and hung up! I can guarantee this will be the last Dell I will ever purchase! Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late! I do not recommend this company or their products!!!!	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
 So far, a great product. High price tag, however. Still trying to learn how to use it.	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
 it is the worst computer dell ever made. it is hard to fix and makes it a hassle to own one. breaks easily. only good thing is the graphics quality.	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
 There are so many wonderful features and benefits to the new MacBook! The #1 reason that is always repeated. No Viruses! This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials. I am loyal to Apple. The Macbooks worth every penny. They're easy, fun, powerful and will last a long time. The great 18 month same as cash financing and Advance Protection Plan which includes accidents like spills ., which Apple doesn't offer, is why I bought my MacBook at Best Buy. I am very Happy!	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0
 This just keeps having it's hard drive replaced! Acer won't replace the laptop. the manufacturer's warranty only covers replacement/repair of parts. This thing is a lemon.	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
 This MacBook is an outstanding product with great value. Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat. Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed. It does run a little warm but that is a negligible concern.	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
 I was so excited to receive the Toshiba L455 as a gift/bonus for some work I had done for a friend of mine! I have owned it only two months! I have had nothing but problems since the day I took it out of the box! My first problem was with the pre-loaded Norton Firewall/Security program. It would not let me connect to my Wifi system where I lived. It took Toshiba tech support 4 calls and 4 different techs to correct the problem. Then just the other day, my left "mouse" button snapped! Being only 2 months old, I am not a happy camper! Buyer Beware. this one, in my opinion, might be a lemon!	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
 It rarely works and when it does it's incredibly slow. I have had to take it to the geek squad guys to get it fixed because it has had viruses 3 times and i have not even had it for more then 4 months! *IF YOU ARE LOOKING FOR A GOOD LAPTOP, THIS IS NOT IT!	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
 Like the price and operation. Some features arent friendly ( volume wheel, sound quality, etc. But, for the cost this is a winner.	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
 I absolutely love my mac! I can't imagine my life without it anymore! It's perfect for everything and runs faster than an average pc!	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
 I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off. Apparently they are defective since they are not securely attached. I can barely use any usb devices because they will not stay connected properly. I called Toshiba and they want me to be without my laptop for about two weeks while they look at the problem. I think I might rather suffer for something that is simple to fix in my opinion.	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
 I bought this laptop Was the worst Laptop I've ever bought. I spent alot of money on this product and its been a nightmare. And having to deal with the company has been a even worse nightmare. I sent it to them to fix in perfect condition but for what was wrong with it. They sent it back with a huge crack in it and it still didn't work. And that was the fourth time ive sent it to them to get fixed. Its been a year and am still waiting to see what there going to do about my laptop. So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
 I saved for this laptop for 3 months and I can tell you personally it was worth the wait. The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent. A little pricey but it is well, well worth it. I've been a PC user and I just finally switched and I am never going back. It is amazing.	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
 In the first moth of owning this computer its hardrive failed which had to be replaced. After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating. Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running. A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
 Has a 5-6 hour battery life. Much faster than my old windows laptop that died on me. It is easy to use and lightweight. Was very much worth the price i paid.	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
 This netbook went bad on me after 3 days. There is a blank lighted screen when I start and that is all. I am also upset with CR for giving a good rating.	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
 I purchased this netbook after my original Toshiba laptop crashed right after the warranty expired. Three weeks after I bought the netbook, the screen quit working. I baby my electronics so I know for a fact it was defective and not anything that I did to it. Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
 Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop. To my mind much more usable than the toy called an IPad.	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
 The So called laptop Runs to Slow and I hate it! Do not  buy it! It is the worst laptop ever	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
 The image is great, and the soud is excelent. i love ths notebook.	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
 I love the glass touchpad. Easy learning curve. Also the display is exceptional!	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
 I have loved this since i took it out of the box. The battery is really long. the features are great, the only thing it needs is better speakers.	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
 Small and light weight. Speakers too small to be of any real use. Keyboard good sized and wasy to use. I like it!	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
 Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
 Needless to say, not to happy with the product.	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
 This is a great machine! The design is awesome, quality is unprecedented.	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
 Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0
 It is by far one of the greatest investments I have ever made.	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
 Consumer Report recommended Toshiba. Am very glad I bought it, great netbook, low price.	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
 Very good quality and well made. Great pick for portability and affordability. The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0
 The only problem is a lack of screen resolutions!	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
 If you need an affordable, entry-level laptop, this will fit the bill. I dislike the weight and size, cubersome. I dislike the quality and the placement of the speakers. Overall, it's ok.	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0
 Laptop is advertised as a 15" but the casing looks like that of a 17". This laptop is very large and barely fits in any carrying cases. Peformance is good for the price. If you're not wanting to be mobile, this is a good laptop to sit on a desk.	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0
 Had to have this computer repaired twice in the first 5 months after purchasing it. Not good for a person who gets online daily. May be better for the occasional web surfer.	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
 I just got this laptop for college, and so far I am very happy with it. I really wanted a Mac over a pc because I used a Mac in high school. It is so much easier to use	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
 Good keyboard, long battery life, largest hard drive and windows 7. And Toshiba is a quality supplier.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
 I love this little one. The keyboard has a wonderful nature feel. I like it better than my big Dell Laptop. Seriously considering a larger laptop to replace the Dell	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
 great battery life. Keyboard is reasonable size. Small screen somewhat limiting but great for travel. Charger seems large for this class of computer.	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
 Great Laptop for the price, works well with action pack games. The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is. but other then that I would give this product a 4 in hafe stars.	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
 Good for every day computing and web browsing.	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
 A great computer for light home use and business use. Might not make the avid gamer happy but I don't really think that is what this computer is designed for. Crisp screen, great battery life, and plenty of storage. Very happy.	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
 My son and his family have a hard time financially because he is self-employed so the family had no computer of any kind, and kyle the oldest child is 12 and really need something to help him in school. so we got a good deal on hsn for an ascer notebook and we bought it for him. He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started. now he mows yards so he can earn the money for the wireless internet. I would recomend this acer to parents and grandparents it can really help them in school.	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0
 MY ONLY PROBLEM IS I CAN NOT REG. THE PRODUCT KEY. IT WANT TAKE IT, IT KEEP SAYING ERROR. HELP, HELP, OTHER THAN THAT GETS A GREAT LITTLE WONDER.	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
 It's fast and has excellent battery life. The screen shows great colors.	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
 I was surprised with the performance and quality of this HP Laptop. the speed is fine. Laptop is to be used like a Netbook. But with A WAY Bigger Screen, and IS able to connect to an HDMI. Love it.	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
 I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing.	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
 I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
 This computer is the ideal college companion. It's software and speed enable it to do amazing things.	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
 I am not happy at all with the product I purchased. A cheaper price should not equal a "cheap" product. It was over rated!	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
 The Toshiba laptop was a great purchase. The price was very good, and the product is top quality. The delivery was fast, and I would not hesitate to purchase this laptop again.	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
 This is my second laptop,and it is head and shoulders above my first. It has easy to use features and all the speed and power I could ask for. True quality at a great price!	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
 I have used a computer at work but having your own personal laptop is AWSOME! I am enjoying it and the quality it provides is great! Toshiba is a great brand, even though I haven't had it for a long time, I am very happy with it!	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
 This is the first laptop I've owned, althougth I used several at my previous job. The screen graphics and clarity, and sharpness are great. I've already recommended this laptop to a friend who eye'd the computer when I took it out of my bag.	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
 I like the laptop overall. The only thing i can say is that the touch pad doesnt work like it should all the time. Sometimes you really have to tap the pad to get it to work	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
 This is a great little computer for the price. Simple to use, and great graphics. It has everything I would need for a home computer. I'm very impressed.	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0
 It was secure and easy to navigate. It is everything that I would want in a computer. Besides the great look, it is a great machine. I would definitely not go back to using a PC after using the mac. Once again apple stands alone at the top of the charts.	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
 I enjoy very much my new Toshiba, purchased specifially for attending online schooling. I have found it very easy to use, very imformative, wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs. I have found also, it is very easy to be able to access wireless internet access; without having to have extra equipment and/or complicated routes to take to be able to do so. I also love the small, convenient size of my laptop, making it a perfect tool for my academic studies. I am very pleased with my purchase!	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0
 This laptop serves all my needs. Screen size is perfect for portable use in any environment. Price and purpose is awesome!	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0
 I have been very pleased with the performance of this laptop. The battery life seems to be very good, and have had no issues with it. Great product.	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
 The laptop was very easy to set up. I did not have to call the support line at all. Everything was so easy.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
 I purchased two laptops (for my husband and 16 year old daughter). My husband uses it mostly for games, email and music. My daughter uses it for games, email, facebook, pictures and music. They were able to set-up with labtops themselves within a few minutes. It works fine with our wireless and they've had not problems. It's a great product for a great price!	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0
 Waited on getting this computer, but it has been a great change. Ease of use is just one of the benefits I love about my Mac.	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
 Purchased as a gift for a friend. The service I received from Toshiba went above and beyond the call of duty. My friend reports the notebook is astonishing in performance, picture quality, and ease of use. It is extremely portable and easily connects to WIFI at the library and elsewhere. Just what the doctor ordered.	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0
 2nd Mac book I have purchased from MacConnection. I cannot be happier with the service or product.	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
 power supply went bad after 2 weeks -- after much effort and 10 days ASUS replaced it The WiFi is very weak. I have other computers that get strong signals that don't drop in places that this "net"book loses its signal. Summary: Spend your money elsewhere	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
 This is a nicely sized laptop with lots of processing power and long battery life. Love it so far.	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
 The Toshiba Net book operates very well. The only objection I have is that after you buy it the windows 7 system is a starter and charges for the upgrade.	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
 I bought this netbook for traveling, and it's great - light, functional, and meets my needs. The touchpad is extremely sensitive, which is the only drawback. Otherwise, I love it!	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0
 I shopped around before buying. I wasn't really sure I wanted to spend that kind of money! It Was a great deal after all. I LOVE it! I should have bought one a long time ago. Not enough time for me to give it 5 stars!	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
 I've had the MacBook Pro 15 for about three weeks, and it really is a great computer. I have only had PCs with Windows before so this takes a little getting use to. The real stand out on this computer is the feel of the keyboard and it's speed. It is fast booting up , shutting down, and connection with the internet. The one thing I wish it had was a detailed hardcopy manuel. I think the manual is somewhere on the hard drive, but I rather have a hard copy.	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0
 If what you need is a machine to do some surfing, email checking, word processing, and watching a movie or two, this is the machine you want. It's priced very reasonable and works very well right out of the box. If you want a little more custom ability, drop a few bucks and upgrade to one of the more robust versions of Win 7 and grab a 2GB stick of memory to spice it all up a bit more. (I found a 2GB stick for a bit under $50) Nice and portable and definitely a decent enough system to keep you entertained while sitting in the airplane for a couple of hours, or at the hotel taking care of some last minute details and documents. My ONLY issues are: the screen/video resolution won't increase to a higher resolution then 1024 x 60 That being said, it still runs video in full screen decently. The sound is a bit quiet if you're on a plane, this can easily be overcome with a decent pair of head phones. Bottom line, I doubt you'd be overly disappointed if you invest in this machine.	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0
 Okay, let's just start out by saying I am in no way a computer techy. I am a wife, mom and a school teacher and a college student. Trying to balance all of my roles leaves very little time for me to do anything, so I want to manage my time I do have to be the most efficient. I work on a PC at home and have used Pc all through college. I use the computer to basically check emails, surf the web, print coupons and for my college papers. I was getting extrememly frustrated when I would want to do these simple taks that I would have to wait and wait and wait for things to download or virus that would clog up my PC. It would take up too much time to do reaearch for my papers and I would be up hours-just because the computer was too slow. My brother is a computer wiz and would laugh at me because he used an Apple. Finally, I couldn't take it anymore and ordered my Apple. Yes, I thought the expese was a little much, but I now realize you get what you pay for. I love my Apple, it is quick and easy to use. I've had to call Apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from Vancouver) techs that walked me through the processes to help me. I can't say enough of how satisfied I am with their product and help aftermarket. Money and time well spent! Highly recommended!	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
 I was looking for a mac which is portable and has all the features that I was looking for. The 13" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product. The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great. I would recommend anyone to buy from pcconnection express. Speakers doesn't sound that great. The battery life also doesn't keep up with the claim but still I think macbook is much ahead from the rest of the pack.	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0
 This was an update from an early MacBook Pro. Love the speed, especially! So glad I decided to upgrade! Thanks, MacConnection, for making this a seamless purchase!	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
 I've owned this labtop for less then two months, already the mouse button has broke. Still under warrenty so called Toshiba, no help at all. I'm stuck w/ a broken computer. Will not buy another Toshiba, this is my second, not happy w/ either.	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
 This is my 3rd Apple Laptop and first MacBook Pro. I love its solid build, light wt and excellent battery life (for now). Excellent LED monitor and well equipped. I love the Apple products.	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
 The Toshiba Mini Notebook, Model NB 305-N410BL, is a great little computer. It is easy to use, its keyboard easily accommodates large hands, and its weight is fantasic. Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap; both upgrades were quickly accomplished after purchasing the necessary Product Key. Other installed features, such as certain printer software, are also most attractive.	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
 Ever since I bought this laptop, so far I've experience nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines. I constantly had to send my laptop in for services every 3 months and it always seems to be the same problem that they said they had already fixed. Toshiba customer services will indirectly deal with your problems by constantly tranferring you from one country to another, and I am not kidding you, I called different hours of the day and you'll get someone else from another country trying to get you to tell them your life story all over again, since they make it sound like they don't have your history list of your calls right in front of them. It's a long and tirring process that after a while it seems like their game plan was to wear you out so you would want to give up on contacting them. And at one point, they blame me for installing a bad memory stick when I upgrade my memory for the first time during my purchase of the laptop (I bought the memory stick they recomended). Long story short, since I experience so many problems with my laptop every since I bought it from day one, I didn't ask for a new laptop or a refund of what I pay for a crapy laptop, but just an extension of my laptop warranty for another year, they made a big deal of out that and after so many calls and complaints about their products and services, they finally gave in. Was this product worth my time and money to ever want to purchase another products that is toshiba or relating to toshiba? Probably not ever again. I'll rather be out of date then spend more money on toshiba. Remember to do your research first before consider buying a toshiba product.	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
 All I can say is W-O-W. This laptop is insane!!! It's so nice to look at and the keys are easy to type with. I bought a protector for my key pad and it works great :) This is definitely a computer worth the money; The mouse is a little bit different than what you're used to though- it has one big flat panel and one full bar (instead of two separate ones) to click with- but you get used to it quite quickly. AND the best part is that it even comes with a free printer (when they have a certain promotion/offer going, of course)! Overall, this laptop is definitely a keeper with its simple yet stylish design and its array of fantastic colors to choose from. The Apple team also assists you very nicely when choosing which computer is right for you :) Obviously, this Macbook is P-E-R-F-E-C-T for me because it does exactly what I need in an easy-to-function way. DEFINITELY recommended!!!	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
 Not a bad laptop, it's a bit slow, but gets the job done. The lcd screen stopped working on mine after 10 months. I could not find a phone number anywhere to call an actual live person for tech support and had to result the their online chat. upon giving them the serial number the first thing I was told, was that it was out of warranty and I could pay to have it repaired even though I had the receipt in front of me proving it still had 2 months left on the warranty. even though I had the receipt in front of me proving it still had 2 months left on the warranty. Dealing with the support drone on the other end of the chat was sheer torture. English must have been his third or fourth language. His language was so bad I swore I was taking the turing test, and it was failing. after trying to get some help he disconnected on me. After that I turned to email in my next vain help to get them to acknowledge that the warranty was still valid. After 4 days, being denied 6 times and told off once, I managed to get through and was able to send them a scanned copy of the receipt. After that the said it was under warranty. Then they had me jump through many hoops and questions to see if they could find another way to invalidate me. After they found no other way, they told me to courier it to them(since they don't allow the use of the post office) at my expense, and sent me a 4 page list of very specific packaging instructions to follow or it wouldn't be covered. I managed to comply with these too and now have to wait and see if they can find another way to screw me. They really do have the worlds very worst repair service.	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
 This computer gets very hot, before shutting down. It is not ideal for children because of the temp. I Contacted HP  about this situation and was given excuses, without results. They didn't even try to assist me or even offer a replacement. I will never purchase a HP again ever.	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
 Let's just get this out of the way, I love Apple! So this review might be a tad bit bias. But the Macbook is the best! It is super easy to use. All you have to do is turn it on and it works. It is very durable, I am pretty rough when it comes to electronics and it has taken it all with no reprecutions yet. I don't do any high tech stuff on it, just write papers, check mail, and sometimes play games, so I can't reccomend it if you are in the computer field. But if you are in the computer field you probably wouldn't be here.:) In the past four years I've had it I have never once gotten a virus. I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since. I would definitely reccomend this if you are in the market for an easy to use, stylish, fun, awesome computer. Also it is very good for college students who just need a reliable, easy to use computer. Hope this helped!	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0
